state,suburb,postcode,latitude,longitude
NSW,Bong Bong,2576,-34.53167,150.40111
NSW,Bongalong,2722,-34.815,148.11778
NSW,Bongongalong,2722,-34.93167,148.05111
NSW,Bonnells Bay,2264,-33.09833,151.51778
NSW,Bonnet Bay,2226,-34.015,151.05111
NSW,Bonny Hills,2445,-31.58167,152.83444
NSW,Bonnyrigg,2177,-33.89,150.88444
NSW,Bonnyrigg Heights,2177,-33.89833,150.86778
NSW,Bonshaw,2361,-29.04833,151.26778
NSW,Bonville,2441,-30.38167,153.05111
NSW,Booerie Creek,2480,-28.74833,153.28444
NSW,Book Book,2650,-35.365,147.55111
NSW,Booker Bay,2257,-33.50806,151.34556
NSW,Bookham,2582,-34.84056,148.63306
NSW,Bookram,2460,-29.71083,153.22611
NSW,Boolambayte,2423,-32.39806,152.26944
NSW,Boolaroo,2284,-32.94833,151.61778
NSW,Boolcarroll,2388,-30.04833,149.43444
NSW,Booligal,2711,-33.65361,144.53306
NSW,Boolijah,2540,-35.11167,150.32583
NSW,Boomanoomana,2712,-35.915,145.90111
NSW,Boomerang Beach,2428,-32.33944,152.53361
NSW,Boomi,2405,-28.715,149.56778
NSW,Boomi Creek,2476,-28.46694,152.59889
NSW,Boomoodeerie,2469,-28.89833,153.01778
NSW,Boonoo Boonoo,2372,-28.8775,152.10111
NSW,Boorabee Park,2480,-28.715,153.05111
NSW,Booragul,2284,-32.94,151.60944
NSW,Booral,2425,-32.46833,151.98583
NSW,Boorga,2652,-34.02944,146.01361
NSW,Boorganna,2429,-31.63167,152.40111
NSW,Boorolong,2350,-30.32333,151.53444
NSW,Boorook,2372,-28.83167,152.25111
NSW,Boorooma,2650,-35.065,147.36778
NSW,Booroorban,2710,-34.93167,144.75111
NSW,Boorowa,2586,-34.43972,148.72028
NSW,Bootawa,2430,-31.93167,152.36778
NSW,Booti Booti,2428,-32.31667,152.52194
NSW,Booyong,2480,-28.74833,153.45111
NSW,Borambil,2329,-31.505,150.63667
NSW,Borambola,2650,-35.165,147.63444
NSW,Border Ranges,2474,-28.39444,153.06722
NSW,Boree,2325,-33.065,151.00944
NSW,Boree Creek,2652,-35.13167,146.61778
NSW,Boro,2622,-35.13167,149.65111
NSW,Bossley Park,2176,-33.84833,150.88444
NSW,Bostobrick,2453,-30.53361,152.60333
NSW,Botany,2019,-33.94833,151.20111
NSW,Bottle Creek,2469,-28.78861,152.65194
NSW,Bouddi,2251,-33.5175,151.39944
NSW,Bourkelands,2650,-35.14833,147.35111
NSW,Bournda,2550,-36.80667,149.90639
NSW,Bow Bowing,2566,-34.015,150.84278
NSW,Bowen Mountain,2753,-33.58167,150.63444
NSW,Bowenfels,2790,-33.48167,150.13444
NSW,Bowling Alley Point,2340,-31.39833,151.13444
NSW,Bowman,2422,-31.93167,151.83444
NSW,Bowman Farm,2422,-31.93167,151.93444
NSW,Bowmans Creek,2330,-32.265,151.13444
NSW,Bowna,2644,-35.93167,147.10111
NSW,Bowning,2582,-34.74472,148.80889
NSW,Bowral,2576,-34.48167,150.41778
NSW,Bowraville,2449,-30.64667,152.85111
NSW,Box Head,2257,-33.54833,151.35111
NSW,Box Hill,2765,-33.665,150.88444
NSW,Box Ridge,2795,-31.24833,148.78444
NSW,Boydtown,2551,-37.115,149.88444
NSW,Bradbury,2560,-34.08167,150.81778
NSW,Braefield,2339,-31.57056,150.70167
NSW,Braemar,2575,-36.09833,148.63444
NSW,Braidwood,2622,-35.44833,149.80111
NSW,Brandy Hill,2324,-32.68917,151.69583
NSW,Branga Plains,2354,-31.265,151.58444
NSW,Branxton,2335,-32.64833,151.35111
NSW,Brassi,2710,-35.48167,144.73444
NSW,Braunstone,2460,-29.79833,152.95111
NSW,Brawboy,2337,-31.94833,150.64278
NSW,Bray Park,2484,-28.34083,153.37611
NSW,Brays Creek,2484,-28.40667,153.19278
NSW,Brayton,2579,-34.64833,149.96778
NSW,Breadalbane,2581,-34.79611,149.44778
NSW,Breakfast Point,2137,-33.84417,151.11361
NSW,Bream Beach,2540,-35.115,150.66778
NSW,Bredbo,2626,-35.94833,149.15111
NSW,Breeza,2381,-31.24833,150.46778
NSW,Bretti,2422,-31.78167,151.91778
NSW,Brewarrina,2839,-29.94833,146.86778
NSW,Brewongle,2795,-33.43167,149.71778
NSW,Briarbrook,2365,-30.16833,151.37222
NSW,Bribbaree,2594,-34.10528,147.8875
NSW,Bridgman,2330,-32.43167,151.16778
NSW,Brierfield,2454,-30.49833,152.90111
NSW,Brighton-Le-Sands,2216,-33.965,151.15111
NSW,Brightwaters,2264,-33.09833,151.53444
NSW,Bril Bril,2441,-31.27333,152.53444
NSW,Brimbin,2430,-31.84,152.45111
NSW,Brindabella,2611,-35.38167,149.45111
NSW,Brinerville,2441,-30.48167,152.55111
NSW,Bringelly,2556,-33.94833,150.73444
NSW,Brisbane Grove,2580,-34.79833,149.70111
NSW,Broadmeadow,2292,-32.91667,151.73333
NSW,Broadwater,2549,-29.01667,153.43333
NSW,Broadway,2581,-34.70806,149.07944
NSW,Brobenah,2705,-34.4,146.45
NSW,Brocklesby,2642,-35.83333,146.66667
NSW,Brockley,2365,-30.28333,151.875
NSW,Brogers Creek,2535,-34.70333,150.68944
NSW,Brogo,2550,-36.53333,149.79167
NSW,Broke,2330,-32.75,151.1
NSW,Broken Head,2481,-28.71667,153.58333
NSW,Brombin,2446,-31.45,152.65
NSW,Bronte,2024,-33.9,151.26667
NSW,Brookdale,2656,-35.1,146.88333
NSW,Brookfield,2420,-32.5,151.76667
NSW,Brooklana,2450,-30.26667,152.85
NSW,Brooklands,2583,-34.45833,149.45833
NSW,Brooklet,2479,-28.73333,153.51667
NSW,Brooklyn,2083,-33.55,151.21667
NSW,Brookvale,2100,-33.76667,151.26667
NSW,Brooman,2538,-35.46667,150.23333
NSW,Brooms Head,2463,-29.61667,153.33333
NSW,Broughton,2535,-34.76667,150.73333
NSW,Broughton Vale,2535,-34.73333,150.71667
NSW,Broughton Village,2535,-34.76667,150.73333
NSW,Broulee,2537,-35.85,150.16667
NSW,Brownlow Hill,2570,-34.03333,150.65
NSW,Browns Mountain,2540,-34.80194,150.52194
NSW,Brownsville,2530,-34.48417,150.80972
NSW,Brucedale,2650,-35.03333,147.41667
NSW,Bruinbun,2795,-33.13333,149.45
NSW,Brumby Plains,2476,-28.46056,152.65667
NSW,Brundee,2540,-34.9,150.66667
NSW,Brungle,2722,-35.15,148.23333
NSW,Brungle Creek,2722,-35.145,148.26139
NSW,Brunkerville,2323,-32.95833,151.475
NSW,Brunswick Heads,2483,-28.53333,153.55
NSW,Brushgrove,2460,-29.56667,153.08333
NSW,Brushy Creek,2365,-30.16667,151.48333
NSW,Bryans Gap,2372,-29.01667,152.08333
NSW,Buangla,2540,-34.85,150.39167
NSW,Bucca,2450,-30.14861,153.09306
NSW,Bucca Wauka,2429,-32.1,152.15
NSW,Buccarumbi,2460,-29.83333,152.58333
NSW,Buchanan,2323,-32.81667,151.51667
NSW,Buckajo,2550,-36.68333,149.71667
NSW,Buckenbowra,2536,-35.67083,149.98528
NSW,Buckenderra,2630,-36.165,148.75111
NSW,Buckendoon,2472,-29.04833,153.35111
NSW,Bucketty,2250,-33.10667,151.13444
NSW,Buckra Bendinni,2449,-30.65083,152.70583
NSW,Budawang,2622,-35.45,149.98
NSW,Budderoo,2535,-34.70667,150.63444
NSW,Buddong,2720,-35.7025,148.22611
NSW,Budgewoi,2262,-33.23167,151.56778
NSW,Budgewoi Peninsula,2262,-33.215,151.58444
NSW,Budgong,2577,-34.82083,150.45361
NSW,Buff Point,2262,-33.23167,151.53444
NSW,Buffer Creek,2454,-30.38167,152.85111
NSW,Bugaldie,2357,-31.115,149.10111
NSW,Bukalong,2632,-36.79833,149.20111
NSW,Bukkulla,2360,-29.49833,151.11778
NSW,Bulahdelah,2423,-32.38306,152.19528
NSW,Bulga,2330,-32.65667,151.01778
NSW,Bulga Forest,2429,-31.54833,152.26778
NSW,Bulgary,2650,-35.065,146.95111
NSW,Bull Plain,2646,-35.715,146.16778
NSW,Bulla Creek,2594,-34.115,148.25111
